date;executor;region;equipment;node;notes_on_the_operation_of_the_equipment;measures_taken;comments
01.01.2015;Копылов А.;Конвейерная система;Зона № 2;;Есть проблема со счетчиком шин на спирали 3-его поста - он постоянно завышает показания.;"Счетчик (cлово DB400.DBW110) прибавлял количество шин по фотодатчику 2.570BF6 (I100.5), который расположен на конвейере после спирали 2. Когда было 3 поста, это было правильно, но после установки 4-ого получалось, что на 3-ем посту учитывались также шины, попадающие на 4-ый, т.к. они тоже проходили мимо фотодатчика. Отсюда завышенные показания. Изменили в программе условие увеличения счетчика 3-его поста - сделали по срабатыванию сбрасывающей ""руки"" (двигатель 2.36М7). Блок FC410, ветка NW3, счетчик увеличивается по метке М20.4 (команда для двигателя).";
01.01.2015;Власов А.;Конвейерная система;Зона № 3;;"На панели шкафа на линиях визуального контроля (А2.2) выдается сообщение о срабатывании авар. кнопки на шкафу 2.80SB3; 2.80S3 (тросик наверху)";"Реально и скнопкой, и с тросом все в порядке, был плохой контакт на аварийной кнопке 3.80SB7 (грибка там нет, аварийник поломан) стойки, которая посередине посередине конвейера на закл. операциях, где шины в поддоны складывают - это вход I401.3 на том же модуле ввода 2.80АР1. Иметь ввиду, что в программе используется только часть входов ( FC50 - I400.0; I400.1; I401.0;I401.1 ), остальные аварийные каналы просто заведены на модуль, при срабатывании любого из аварийных сигналов выдаются одни и те же сообщения -иметь ввиду!!!";
01.01.2015;Третьякова И.;Конвейерная система;Зона № 1;;на втором этаже на выходе шин с 1 линии в общий поток нестабильно срабатывают тормоза(клапан 1.71 YV2,3). Левый срабатывает на тормоз и опускание быстрее правого, из-за этого приходят 2 сигнала с датчиков I2.0 ( 1625Q2), I2.1(1625Q3);настройка датчика 1625Q3, регулировка дросселями скорости срабатывания тормозов.;
01.01.2015;Копылов А.;Сборка;VMI №4;PLC Allen Bradlay;"Иногда возникает ошибка 152 ""Линия не в производственно режиме"".";Никаких закономерностей в появлении ошибки не было замечено. Работа станка не была полностью парализованна. Причина проблемы не была выяснена.;
27.11.2013;Копылов А.;Сборка;VMI №4;PLC Allen Bradlay;См. выше. Айхан установил, что ошибка возникает из-за неисправности PROFIBUS в RIO25. Ошибка возникает в основном при работе одновременно обеих сторон - сборка брекерного кольца и сборка каркаса.;Последовательная замена коннекторов PROFIBUS в RIO 25, 31, 60. Замена модуля PROFIBUS в RIO 25 (модуль до этого стоял на 3-ем станке, в октябре был заменен по просьбе Айхана, но оказался рабочим). Замена кабеля PROFIBUS между RIO 25 и 31. ;Если проблема по-прежнему будет возникать попробовать сборку поочередно - сначала брекерное кольцо, потом каркас и окончательная сборка.
20.11.2013;Копылов А.;Сборка;VMI №6;Система конвейеров;При сборке брекерного браслета аппликаторы брекеров №1 и №2 не опускаются достаточно близко к барабану (остается зазор примерно 10 мм), и поэтому оба слоя брекера накладывается неплотно, со складками. В то же время в рецепте это расстояние стоит равным 1 мм (правильное, достаточно малое расстояние). ;Это происходит при переходе с одного рецепта на другой. Из-за сбоя в программе аппликаторы брекеров не меняют свое начальное положение, то есть остаются в положении для предыдущего рецепта и поэтому опускаются на неправильное расстояние. Для исправления нужно в ручном режиме сместить поочередно оба аппликатора в произвольное положение и запустить станок в автомате. При этом аппликаторы выставятся в нужное начальное положение, соответствующее тому, что задано в рецепте.;
22.11.2013;Третьякова И.;Сборка;VMI №6;Система реза материалов;1. Не отрезается экранирующая лента после намотки. Сообщение- стол наложения экранирующей ленты не на паузе.                                                          2. После решения этой проблемы снова не наматывалась экранирующая лента - ошибка резания.;"1.Регулировка положения датчиков  пневмоцилиндра в позиции наложения ленты-410В5 и поз. отрезания ленты- 410В4. Обращаем внимание, что эти датчики находятся под столом экранирующей ленты, слева от шкафа с клапанами 410У**. Добраться до них довольно проблемно. В положении ""на паузе"" должен гореть ближний от центральной панели датчик, а в положении намотки - дальний.                              2. Решилось уменьшением давления в пневмоцилиндре, который подводит стол. Требуется выставлять между 4 и 4.5.";
20.11.2013;Копылов А.;Сборка;VMI №9;PLC Allen Bradlay;"Во время формовки шины из-за ошибки перестает подаваться воздух, формовка останавливается, шина портится. Ошибка может быть 1267 или 2020, называются обе одинаково ""Установщик колец не на паузе"". Смысл заключается в том, что когда установщик крыльев возвращается в свое начальное положение (называется ""положение отдыха"", ""BDSE REST DIST""), его расстоние от центра каркасного барабана должно быть равно определенному значению с допуском плюс-минус 3 мм. По какой-то причине это расстояние меняется от цикла к циклу и может выйти за допуск (не каждый раз, примерно 1 цикл из 5). При этом появляется ошибка, формовка останавливается.";"Изменили в программе допуск с плюс-минус 3 мм на плюс-минус 6 мм. Блок _200_BDSE_CALC, ветка №24, инструкция LIM, в ней параметры ""Low Limit"" и ""High Limit"". В этой ветке еще есть инструкция SUB, в ней параметры PRM_TBM_BTDR_TO_BDSE_REST_DIST и REG_BDSE_ACTUAL_CARP_POS. Первый параметр задан - это расстояние, на котором должен стоять установщик крыльев в положении отдыха, второе - то, что измерено по факту. Их разница и должна укладываться в допуск.";
01.01.2015;Копылов А.;Сборка;VMI №9;PLC Allen Bradlay;См. предыдущее описание.;Причина проблемы не выяснена. Проблема возникала так же у предыдущей смены, они решали ее путем смазки направляющих установщика. Это не решило проблему. Полностью причины не выяснены.;
23.02.2014;Зверев А.;Сборка;VMI №9;;Ошибка системы центрирования VVS.;Перезапуск персонального  компьютера, отвечающего за систему центрирования.;
22.02.2014;Зверев А.;Сборка;Flexi TR20(2ст) №2;;Не подготавливается петля материала на втором слое. Не срабатывает датчик 7630.В9.;Настройка датчика 7630.В9.;
01.01.2015;Золотарева Н.;Резиносмешение;INTAKE;Silica transpor/ Транспортировка силики в расход. Бункеры;Нет загрузки силики. Alarm sumari silica big beg unload Filtr Fan;"Сбросили аварию на контакторе силики (в шкафу на 3м этаже синяя кнопочка на контакторе), затем на пульте управления нажали на 5сек кнопку подтверждение авар.сигналов. В ""очках"" нажали кнопку ""START""";
01.01.2015;Золотарева Н.;Резиносмешение;INTAKE;Computer;Отключен пульт оператора- нет питания в шкафу. В шкафу в серверной нет питания на процессоре и блоке питания;Перезапустили UPS вшкафу +82 тут же в серверной   ( UPS-правый);
01.01.2015;Золотарева Н.;Резиносмешение;INTAKE;Silica transpor/ Транспортировка силики в расход. Бункеры;Нет загрузки силики. Alarm sumari silica big beg unload Filtr Fan;Произвела сброс аварии как 22.04.2013.Загрузочный двигатель выделен голубой коемкой (локальный режим) и загрузка в автомате не пошла. На панельке частотника ( в шкафу на 3м зтаже )Siemens изображен значек ладони, нажала серую кнопку (Hand\ Auto) на пульте частотника. Двигатель запустился в автомате.;
01.01.2015;Котлярский С.;Резиносмешение;INTAKE;Computer;Нет отображения информации на мониторе, на пульте оператора (3й этаж).;Перезапустили сетевой адаптор в серверной. Связь востановилась;
01.01.2015;Котлярский С.;Резиносмешение;INTAKE;Silica transpor/ Транспортировка силики в расход. Бункеры;В промежуточной емкости белой сажи растет давление при включении клапана подачи воздуха, двигатель выгрузки материала при этом моргает желтым и зеленым, выгрузка происходит очень медленно.;Проверили работу клапана 916Y2, оказалось в закрытом состоянии клапан пропускает воздух,  поправили уплотнительные прокладки. Все работает.;
01.01.2015;Котлярский С.;Резиносмешение;INTAKE;C.black transport/ Транспортировка тех.углерода  в расход. бункеры; Не запускается загрузка сажи из мешков . Аварийное сообщение SERVER NOT AVAILABLE;Перегрузил PIVORSAМ , результата нет. Перезагрузки PIVORSAS все работает;
01.01.2015;Золотарева Н.;Резиносмешение;INTAKE;C.black transport/ Транспортировка тех.углерода  в расход. бункеры;Не идет  загрузка сажи из жд-вагонов.Клапан на взятие анализа горит красным(его перекрыли анализ не нужен);При загрузке сажи из жд-вагонов необходимо проверить задание параметров бункеров , Для взятия сажи на анализ выставили симуляцию  работы клапана над емкостью (как ведро).;
01.01.2015;Золотарева Н.;Резиносмешение;INTAKE;C.black silos transport/ Транспортировка сажи в силосы ;При загрузке сажи из жд. вагона останавливается двигатель транспортера подачи с аспирации из за перегрузки (% уменьшаются. амперы  увеличиваются до 2);Разбирали транспортер, забилось сажей из-за попадания воды. После востановления проходимости , все работает.;
01.01.2015;Золотарева Н.;Резиносмешение;INTAKE;Computer;Не работает загрузка сажи. SERVER NOT AVAILABLE.;Перезагрузка PIVORSAM. Все работает.;Помогло ненадолго. Сообщение опять появилось
01.01.2015;Котлярский С.;Резиносмешение;INTAKE;Computer; На компьютерах INTAKE и СHEMICAL сообщение SERVER NOT AVAILABLE. При этом все работает.;Перезагрузка PIVORSAS.;
01.01.2015;Золотарева Н.;Резиносмешение;INTAKE;Computer;Нет загрузки силики . SERVER NOT AVAILABLE.;Перезагрузка PIVORSAM. Все работает.;
01.01.2015;Котлярский С.;Резиносмешение;INTAKE;C.black transport/ Транспортировка тех.углерода  в расход. бункеры;После  разгрузки RB0207 из бункера HOPPER в  бункер SCV пропало название метериала на бункере HOPPER, а знака MIN нет;В ручном режиме открыли клапаны, включали и выключали вибрацию - знак MIN  появился в бункере HOPPER, в  бункере SCV пропал. Перевели в автоматический режим , выбрали загрузку из BIG-BAG и запустили. Выгрузка из бункера SCV в расходный бункер благополучно завершилась.;
01.01.2015;Золотарева Н.;Резиносмешение;INTAKE;Oil tanks /    Емкости масла;Не работает нагрев масла в 1 танке (температура 12,5 градусов) и не включается насос;"Автомат 420Q1 выключили, нажали синюю кнопку (сброс аварии),включили - насос включился в автоматическом режиме. С автоматами 423Q1  и 438Q1проделали аналогичные действия , но нагрев трубопровода включили только в ручном режиме ( в ""Магме"" 6 нагревателей, реально только 1). Для восстановления нагрева танка   делали RESET на приборе терморегулятора ";
01.01.2015;Котлярский С.;Резиносмешение;INTAKE;Computer;Нет загрузки техуглерода . SERVER NOT AVAILABLE.;Перегрузил PIVORSAМ , результата нет. Перезагрузки PIVORSAS все работает;
01.01.2015;Золотарева Н.;Резиносмешение;INTAKE;;Загрузка сажи из жд вагонов в силоса;"1. В меню ""Бункеры параметров"" выбрать загрузку из жд вагонов и нужный бункер, затем (кнопочки в верхнем мею) изменить и подтвердить.                           2.На экране загрузки в расходные бункеры выбрать загрузку из силосов.   3.Выбрать автоматический режим на экране загрузки сажи из жд вагонов.                                                      ";
01.01.2015;Золотарева Н.;Резиносмешение;INTAKE;C.black silos transport/ Транспортировка сажи в силосы ;" В автоматическом режиме при отправке сажи на разгрузочном двигателе (нижнем)  появляется сообщение  ""давление"" и процесс отправки сажи прекращается.";На клапане подачи воздуха (629Y1 А 100.7) на двигатель  отсутствовал  сигнал с реле давления. Поставили перемычку, на вход контроллера Е100.7 подали 24V. Загрузка силосов в автомате возобновилась.;
01.01.2015;Золотарева Н.;Резиносмешение;INTAKE;C.black silos transport/ Транспортировка сажи в силосы ; В автоматическом режиме при отправке сажи на  разгрузочном двигателе (626А1 ) появилась ошибка  ( окрасился в красный цвет).;"На частотном преобразователе 626А1  ошибка F0002 (Напряжение питания превысило предел при
генераторной нагрузке). После сброса ошибки на приводе и на пульте все заработало.";
01.01.2015;Золотарева Н.;Резиносмешение;INTAKE;C.black silos transport/ Транспортировка сажи в силосы ;В автоматическом режиме при отправке сажи на  разгрузочном двигателе (628А1 ) появилась ошибка  ( окрасился в красный цвет);"На частотном преобразователе 628А1  ошибка F0002 (Напряжение питания превысило предел при
генераторной нагрузке). После сброса ошибки на приводе и на пульте все заработало.";
01.01.2015;Золотарева Н.;Резиносмешение;INTAKE;C.black silos transport/ Транспортировка сажи в силосы ;В автоматическом режиме при отправке сажи на  разгрузочном двигателе (616А1 ) появилась ошибка  ( окрасился в красный цвет);На частотном преобразователе 616А1  ошибка F0002 (Напряжение питания превысило предел при генераторной нагрузке). После сброса ошибки на приводе и на пульте все заработало;
01.01.2015;Золотарева Н.;Резиносмешение;INTAKE;C.black silos transport/ Транспортировка сажи в силосы ;В автоматическом режиме при отправке сажи на  разгрузочном двигателе (618А1 ) появилась ошибка  ( окрасился в красный цвет);На частотном преобразователе 618А1  ошибка F0002 (Напряжение питания превысило предел при генераторной нагрузке). После сброса ошибки на приводе и на пульте все заработало;
01.01.2015;Золотарева Н.;Резиносмешение;INTAKE;C.black silos transport/ Транспортировка сажи в силосы ;В автоматическом режиме при отправке сажи на  разгрузочном двигателе (618А1 ) появилась ошибка  ( окрасился в красный цвет);На частотном преобразователе 618А1  ошибка F0002 (Напряжение питания превысило предел при генераторной нагрузке). После сброса ошибки на приводе и на пульте все заработало;
